date,air_temp_low_24_hour,air_temp_high_24_hour,precip_accum_24_hour
3/29/2015,-4.0,9.5,0.0
3/29/2016,-18.9,3.2,2.286
3/3/2014,-6.8,0.6,1.524
3/3/2015,-8.2,-1.1,2.54
3/3/2016,-12.0,3.6,0.508
3/30/2014,-13.5,0.6,0.0
3/30/2015,-3.8,12.7,0.508
3/30/2016,-8.5,8.9,0.0
3/31/2014,-14.1,6.3,0.0
3/31/2015,-5.9,11.0,0.0
3/31/2016,-8.5,8.5,2.54
3/4/2014,-7.9,2.4,0.254
3/4/2015,-6.7,4.5,0.0
3/4/2016,-5.8,2.8,1.27
3/5/2014,-10.6,2.4,1.016
3/5/2015,-11.4,-1.3,6.35
3/5/2016,-10.7,9.0,0.0
3/6/2014,-11.7,5.6,2.032
3/6/2015,-22.1,-7.0,3.302
3/6/2016,-6.1,7.3,0.0
3/7/2014,-10.5,2.9,0.0
3/7/2015,-22.1,-0.3,0.0
3/7/2016,-7.1,10.6,0.0
3/8/2014,-10.0,8.6,4.318
3/8/2015,-15.0,4.9,0.0
3/8/2016,-4.8,6.8,0.0
3/9/2014,-7.2,-0.8,3.048
3/9/2015,-12.8,8.8,0.0
3/9/2016,-7.1,-0.6,2.032
4/1/2014,-5.9,6.2,12.192
4/1/2015,-4.2,10.9,0.0
4/1/2016,-11.8,-0.2,1.016
4/10/2014,-5.0,7.8,0.0
4/10/2016,-5.5,12.2,0.508
4/11/2014,-6.2,11.9,0.0
4/11/2016,-2.2,8.6,0.508
4/12/2014,-1.9,11.4,0.0
4/12/2016,-3.8,7.8,0.0
4/13/2014,-4.7,12.3,0.0
4/13/2016,-3.6,9.0,0.0
4/14/2014,-1.7,11.2,13.716
4/14/2014,-1.7,11.2,13.716
4/14/2014,-1.7,11.2,13.716
4/14/2014,-1.7,11.2,13.716
4/14/2014,-1.7,11.2,13.716
4/14/2014,-1.7,11.2,13.716
4/14/2014,-1.7,11.2,13.716
4/14/2014,-1.7,11.2,13.716
4/14/2016,-3.4,9.3,0.0
4/15/2014,-12.0,4.3,1.524
4/15/2016,-2.7,10.8,0.0
4/16/2014,-14.9,-1.6,0.0
4/16/2016,-1.9,11.2,14.224
4/17/2014,-13.4,6.4,1.778
4/17/2016,-3.6,7.5,10.922
4/18/2014,-5.6,6.6,0.0
4/18/2016,-6.3,-0.7,1.016
4/19/2014,-9.4,9.3,0.0
4/19/2016,-7.1,0.8,0.0
4/2/2014,-8.0,1.5,0.0
4/2/2015,-4.1,12.6,0.762
4/2/2016,-16.5,0.7,0.0
4/20/2014,-4.0,14.0,1.778
4/20/2016,-6.8,3.5,0.254
4/22/2015,-7.5,4.6,1.016
4/25/2016,-3.2,13.0,2.032
4/3/2014,-5.5,1.7,0.0
4/3/2015,-2.3,9.6,0.0
4/3/2016,-16.6,0.9,0.0
4/4/2014,-6.7,3.5,2.286
4/4/2015,-8.0,6.0,4.572
4/4/2016,-12.0,7.8,0.0
4/5/2014,-14.8,-0.8,0.0
4/5/2015,-11.4,2.0,0.0
4/5/2016,-6.5,8.3,0.0
4/6/2014,-16.1,4.3,0.0
4/6/2016,-4.9,11.8,5.588
4/7/2014,-11.7,3.1,0.254
4/7/2016,-8.4,4.7,0.508
4/8/2014,-7.0,1.7,3.556
4/8/2016,-11.6,7.2,0.0
4/9/2014,-7.8,0.9,0.0
4/9/2016,-4.4,11.3,0.0
5/26/2016,-1.3,14.7,0.0
5/7/2015,-0.3,9.4,2.54
6/30/2014,3.5,16.3,0.0
