date,rating_today_above,rating_today_near,rating_today_below,precip_accum_24_hour,day_of_year
3/29/2016,2,2,1,2.286,89
3/3/2014,2,2,2,1.524,62
3/3/2015,3,3,2,2.54,62
3/3/2016,2,1,1,0.508,63
3/30/2014,2,2,2,0.0,89
3/30/2015,1,2,2,0.508,89
3/30/2016,2,2,1,0.0,90
3/31/2014,3,3,1,0.0,90
3/31/2015,1,2,2,0.0,90
3/31/2016,3,3,2,2.54,91
3/4/2014,2,2,2,0.254,63
3/4/2015,3,3,2,0.0,63
3/4/2016,2,1,1,1.27,64
3/5/2014,2,2,2,1.016,64
3/5/2015,3,3,2,6.35,64
3/5/2016,1,1,1,0.0,65
3/6/2014,2,2,2,2.032,65
3/6/2015,3,3,2,3.302,65
3/6/2016,1,1,1,0.0,66
3/7/2014,2,2,2,0.0,66
3/7/2015,3,2,2,0.0,66
3/7/2016,1,1,1,0.0,67
3/8/2014,3,3,3,4.318,67
3/8/2015,2,2,2,0.0,67
3/8/2016,2,2,1,0.0,68
3/9/2014,2,2,2,3.048,68
3/9/2015,2,2,2,0.0,68
3/9/2016,2,2,1,2.032,69
4/1/2014,2,2,1,12.192,91
4/1/2015,1,2,2,0.0,91
4/1/2016,2,2,1,1.016,92
4/10/2014,2,2,1,0.0,100
4/10/2016,1,2,2,0.508,101
4/11/2014,2,2,1,0.0,101
4/11/2016,1,1,2,0.508,102
4/12/2014,2,2,1,0.0,102
4/12/2016,1,1,2,0.0,103
4/13/2014,1,1,1,0.0,103
4/13/2016,1,2,2,0.0,104
4/14/2014,1,1,1,13.716,104
4/14/2014,1,1,1,13.716,104
4/14/2014,1,1,1,13.716,104
4/14/2014,1,1,1,13.716,104
4/14/2014,1,1,1,13.716,104
4/14/2014,1,1,1,13.716,104
4/14/2014,1,1,1,13.716,104
4/14/2014,1,1,1,13.716,104
4/14/2014,2,2,1,13.716,104
4/14/2014,2,2,1,13.716,104
4/14/2014,2,2,1,13.716,104
4/14/2014,2,2,1,13.716,104
4/14/2014,2,2,1,13.716,104
4/14/2014,2,2,1,13.716,104
4/14/2014,2,2,1,13.716,104
4/14/2014,2,2,1,13.716,104
4/14/2016,1,2,2,0.0,105
4/15/2014,2,2,1,1.524,105
4/15/2016,1,1,1,0.0,106
4/16/2014,2,2,1,0.0,106
4/16/2016,3,3,2,14.224,107
4/17/2014,2,1,1,1.778,107
4/17/2016,3,3,2,10.922,108
4/18/2014,2,2,1,0.0,108
4/18/2016,2,2,2,1.016,109
4/19/2014,2,2,1,0.0,109
4/19/2016,2,2,2,0.0,110
4/2/2014,2,2,1,0.0,92
4/2/2015,1,1,1,0.762,92
4/2/2016,2,2,1,0.0,93
4/20/2014,2,2,2,1.778,110
4/20/2016,2,2,2,0.254,111
4/22/2015,0,0,0,1.016,112
4/25/2016,2,2,2,2.032,116
4/3/2014,2,2,1,0.0,93
4/3/2015,2,2,1,0.0,93
4/3/2016,2,2,1,0.0,94
4/4/2014,2,2,1,2.286,94
4/4/2015,2,2,2,4.572,94
4/4/2016,2,2,1,0.0,95
4/5/2014,2,1,1,0.0,95
4/5/2015,1,1,1,0.0,95
4/5/2016,2,2,2,0.0,96
4/6/2014,2,1,1,0.0,96
4/6/2016,2,2,2,5.588,97
4/7/2014,2,2,1,0.254,97
4/7/2016,2,1,1,0.508,98
4/8/2014,2,2,1,3.556,98
4/8/2016,1,1,1,0.0,99
4/9/2014,2,2,1,0.0,99
4/9/2016,1,1,2,0.0,100
5/26/2016,2,2,2,0.0,147
5/7/2015,0,0,0,2.54,127
6/30/2014,2,2,2,0.0,181
